项    目,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
全年水资源总量,19.2,16.1,18.4,21.4,23.2,22.1,23.8,34.2,21.8,23.1,26.8,39.5,24.8,20.3,26.8,35.1,29.8
  地表水资源量,7.8,5.3,6.1,8.2,7.6,6.7,7.6,12.8,6.8,7.2,9.2,18,9.4,6.5,9.3,14,12
  地下水资源量,15.7,14.7,14.8,16.5,18.5,15.4,16.2,21.4,15.1,15.9,17.6,21.6,15.4,13.8,17.4,21.1,17.7
人均水资源(立方米/人),139.7,114.7,127.8,145.1,153.1,140.6,145.3,198.5,120.3,120.8,134.7,193.3,118.6,94.9,123.8,161.4,137.1
全年供水总量,38.9,34.6,35.8,34.6,34.5,34.3,34.8,35.1,35.5,35.2,36,35.9,36.4,37.5,38.2,38.8,39.5
    地表水,11.7,10.4,8.3,5.7,7,6.4,5.7,5.5,4.6,4.6,5.5,5.2,4.8,8.5,2.9,2.9,3.6
    地下水,27.2,24.2,25.4,26.8,24.9,24.3,24.2,22.9,21.8,21.2,20.9,20.4,20.1,19.6,18.2,17.5,16.6
    再生水,,,2.1,2,2.6,3.6,5,6,6.5,6.8,7,7.5,8,8.6,9.5,10,10.5
    南水北调水,,,,,,,,0.7,2.6,2.6,2.6,2.8,3.5,0.8,7.6,8.4,8.8
全年用水总量,38.9,34.6,35.8,34.6,34.5,34.3,34.8,35.1,35.5,35.2,36,35.9,36.4,37.5,38.2,38.8,39.5
     农业用水,17.4,15.5,13.8,13.5,13.2,12.8,12.4,12,12,11.4,10.9,9.3,9.1,8.2,6.5,6.1,5.1
    工业用水,9.2,7.6,8.4,7.7,6.8,6.2,5.8,5.2,5.2,5.1,5,4.9,5.1,5.1,3.8,3.8,3.5
    生活用水,12,10.8,13,12.8,13.4,13.7,13.9,14.7,14.7,14.7,15.6,16,16.3,17,17.5,17.8,18.3
    生态环境用水,0.3,0.8,0.6,0.6,1.1,1.6,2.7,3.2,3.6,4,4.5,5.7,5.9,7.2,10.4,11.1,12.6
  万元地区生产总值水耗(立方米),104.91,80.19,71.5,57.35,49.5,42.25,35.34,31.58,29.92,24.94,22.13,20.07,18.37,17.58,16.6,15.59,14.1
