             日期     占比
0     2001-6-30   1.25
1     2001-7-30   1.13
2     2001-8-30   1.20
3     2001-9-28   1.17
4    2001-10-26   1.28
5    2001-11-28   1.23
6    2001-12-31   1.04
7     2002-1-30   1.02
8     2002-2-27   0.99
9     2002-3-29   0.99
10    2002-4-29   1.07
11    2002-5-29   1.06
12    2002-6-29   1.13
13    2002-7-31   1.08
14    2002-8-29   1.22
15    2002-9-29   1.08
16   2002-10-30   1.19
17   2002-11-29   1.00
18   2002-12-31   1.00
19    2003-1-31   1.03
20    2003-2-28   0.97
21    2003-3-31   0.99
22    2003-4-30   1.01
23    2003-5-30   1.16
24    2003-6-30   1.28
25    2003-7-31   1.30
26    2003-8-31   1.42
27    2003-9-30   1.49
28   2003-10-31   1.77
29   2003-11-30   1.10
30   2003-12-31   1.13
31    2004-1-31   1.01
32    2004-2-29   1.02
33    2004-3-31   1.01
34    2004-4-30   4.57
35    2004-5-30   6.58
36    2004-6-30   4.96
37    2004-7-31   4.70
38    2004-8-30   5.60
39    2004-9-30   4.44
40   2004-10-31   5.20
41   2004-11-30   3.03
42   2004-12-31   2.84
43    2005-1-31   2.51
44    2005-2-28   2.42
45    2005-3-31   2.70
46    2005-4-30   2.48
47    2005-5-31   2.80
48    2005-6-30   2.52
49    2005-7-31   2.88
50    2005-8-31   3.03
51    2005-9-30   2.88
52    2005-12-3   2.68
53     2006-1-4   2.60
54     2006-2-2   2.67
55     2006-3-1   3.09
56     2006-4-2   2.76
57     2006-5-1   3.04
58     2006-6-1   3.46
59     2006-7-2   3.02
60     2006-8-2   3.07
61     2006-9-2   3.14
62    2006-10-1   3.47
63    2006-11-2   3.64
64    2006-12-1   3.76
65     2007-1-2   3.50
66     2007-2-3   3.57
67     2007-3-3   3.90
68     2007-4-1   3.81
69     2007-5-5   3.78
70     2007-6-2   3.16
71     2007-7-2   3.02
72     2007-8-5   2.75
73     2007-9-2   3.03
74    2007-10-4   3.43
75    2007-11-4   4.23
76    2007-12-3   4.70
77     2008-1-3   5.54
78     2008-2-7   4.76
79     2008-6-1   4.90
80     2008-7-2   4.97
81     2008-8-3   4.98
82     2008-9-3   5.01
83    2008-10-6   4.56
84    2008-11-2   5.14
85    2008-12-3   4.17
86     2009-1-2   4.73
87     2009-2-1   4.57
88     2009-3-5   5.18
89     2009-4-7   6.08
90     2009-5-1   5.55
91     2009-6-4   4.76
92     2009-7-2   4.43
93     2009-8-1   4.49
94     2009-9-5   3.93
95    2009-10-2   3.90
96    2009-11-2   4.67
97    2009-12-2   5.19
98     2010-1-5   4.45
99     2010-2-7   4.31
100    2010-3-7   4.23
101    2010-4-5   4.21
102   2010-5-15   4.10
103    2010-7-6   4.22
